Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Groups;Parent
CH;CH-GR-VM-SU;;GR-VM-SU;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Sufers;DE;GR-VS;GR-VM
CH;CH-GR-VM-TH;;GR-VM-TH;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Thusis;DE;GR-VS;GR-VM
CH;CH-GR-VM-TS;;GR-VM-TS;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Tschappina;DE;GR-VS;GR-VM
CH;CH-GR-VM-UR;;GR-VM-UR;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Urmein;DE;GR-VS;GR-VM
CH;CH-GR-VM-ZR;;GR-VM-ZR;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Zillis-Reischen;DE;GR-VS;GR-VM
CH;CH-JU;CH-JU;JU;FR canton,DE Kanton,IT canonte,RM chantun,EN canton;FR Jura,DE Jura,IT Giura,RM Giura,EN Jura;FR;;
CH;CH-JU-DE;;JU-DE;FR district,DE Bezirk,IT distretto,RM district,EN district;FR Delémont;FR;;JU
CH;CH-JU-DE-BC;;JU-DE-BC;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Boécourt;FR;;JU-DE
CH;CH-JU-DE-BR;;JU-DE-BR;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Bourrignon;FR;;JU-DE
CH;CH-JU-DE-CC;;JU-DE-CC;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Courchapoix;FR;;JU-DE
CH;CH-JU-DE-CL;;JU-DE-CL;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Châtillon (JU);FR;;JU-DE
CH;CH-JU-DE-CO;;JU-DE-CO;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Courrendlin;FR;;JU-DE
CH;CH-JU-DE-CR;;JU-DE-CR;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Courroux;FR;;JU-DE
CH;CH-JU-DE-CT;;JU-DE-CT;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Courtételle;FR;;JU-DE
CH;CH-JU-DE-DM;;JU-DE-DM;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Delémont;FR;;JU-DE
CH;CH-JU-DE-DV;;JU-DE-DV;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Develier;FR;;JU-DE
CH;CH-JU-DE-EW;;JU-DE-EW;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Ederswiler;FR;;JU-DE
CH;CH-JU-DE-HS;;JU-DE-HS;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Haute-Sorne;FR;;JU-DE
CH;CH-JU-DE-MB;;JU-DE-MB;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Mettembert;FR;;JU-DE
CH;CH-JU-DE-MO;;JU-DE-MO;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Movelier;FR;;JU-DE
CH;CH-JU-DE-MV;;JU-DE-MV;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Mervelier;FR;;JU-DE
CH;CH-JU-DE-PL;;JU-DE-PL;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Pleigne;FR;;JU-DE
CH;CH-JU-DE-RM;;JU-DE-RM;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Rossemaison;FR;;JU-DE
CH;CH-JU-DE-SC;;JU-DE-SC;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Saulcy;FR;;JU-DE
CH;CH-JU-DE-SH;;JU-DE-SH;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Soyhières;FR;;JU-DE
CH;CH-JU-DE-VT;;JU-DE-VT;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Val Terbi;FR;;JU-DE
CH;CH-JU-FM;;JU-FM;FR district,DE Bezirk,IT distretto,RM district,EN district;FR Les Franches-Montagnes;FR;;JU
CH;CH-JU-FM-BM;;JU-FM-BM;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Le Bémont (JU);FR;;JU-FM
CH;CH-JU-FM-BO;;JU-FM-BO;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Les Bois;FR;;JU-FM
CH;CH-JU-FM-BR;;JU-FM-BR;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Les Breuleux;FR;;JU-FM
CH;CH-JU-FM-EN;;JU-FM-EN;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Les Enfers;FR;;JU-FM
CH;CH-JU-FM-GE;;JU-FM-GE;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Les Genevez (JU);FR;;JU-FM
CH;CH-JU-FM-LJ;;JU-FM-LJ;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Lajoux (JU);FR;;JU-FM
CH;CH-JU-FM-MF;;JU-FM-MF;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Montfaucon;FR;;JU-FM
CH;CH-JU-FM-MU;;JU-FM-MU;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Muriaux;FR;;JU-FM
CH;CH-JU-FM-NO;;JU-FM-NO;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Le Noirmont;FR;;JU-FM
CH;CH-JU-FM-SB;;JU-FM-SB;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Saint-Brais;FR;;JU-FM
CH;CH-JU-FM-SL;;JU-FM-SL;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Saignelégier;FR;;JU-FM
CH;CH-JU-FM-SO;;JU-FM-SO;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Soubey;FR;;JU-FM
CH;CH-JU-PO;;JU-PO;FR district,DE Bezirk,IT distretto,RM district,EN district;FR Porrentruy;FR;;JU
