Id;Country;StartDate;EndDate;Type;RegionalScope;Status;Name;Subdivisions
2d033dbb-5329-440f-b7a1-45c8c40cb057;PT;2020-09-11;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LI-AM,SE-MT
9396e3fa-f0dd-4d45-b68c-71edf20b1575;PT;2020-09-15;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CB-FU,FA-AC,SE-SE
6cac539d-ada1-4d6e-b02f-9a175ba4accb;PT;2020-09-16;;Public;Local;Optional;PT Dia de Santa Eufémia,EN St Euphemia's Day,DE Tag der heiligen Euphemia;VI-TO
194833e4-615c-4b0a-94d7-beae98e8cce7;PT;2020-09-19;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CB-VR
9ea4026d-3a05-46f6-8cbc-758ce7d3b296;PT;2020-09-20;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VC-PL,VC-PL
8e208582-0c7e-4685-aa95-c715b2e7fa47;PT;2020-09-21;;Public;Local;Optional;PT Dia de São Mateus,EN St Matthew's Day,DE Tag des Apostels und Evangelisten Matthäus;AV-SV
c86165cd-2fe9-4f41-b7b2-166c2a2fe439;PT;2020-09-21;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CO-SO,VI-VS
e455f0f4-6afb-446c-b8ae-3629d18b32e0;PT;2020-09-22;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;SA-SD
1b8e0e25-96bc-47fa-ae50-7a65d001162a;PT;2020-09-29;;Public;Local;Optional;PT Dia de São Miguel Arcanjo,EN Day of St Michael the Archangel,DE Tag des heiligen Erzengels Michael;BR-CB,CO-PL,GU-FA
cd8fc303-fb9d-4ee8-ab9b-c3d152667eea;PT;2020-09-29;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VI-RE,VI-TR
7a682a57-5975-4f7b-9e62-483956e1c7be;PT;2020-10-01;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VC-VN
7c301061-595e-4c5f-8b53-e20592076b92;PT;2020-10-05;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BR-VM,PO-GO
c9dfe922-7f0e-4c6a-a7dc-1a8c42e52e6a;PT;2020-10-07;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CO-OH,VI-OF
fd04a0ec-ec45-45b5-866c-faa112526c4c;PT;2020-10-09;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;MA-MA
4ff6b28e-c6cb-4eca-9b62-1ed09e87da91;PT;2020-10-11;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-SJ
51a5226c-9a54-4e1e-96dd-0dcf45f701ad;PT;2020-10-15;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BA-MO
ef924d1a-319a-4b7a-839b-bfc6484e1f12;PT;2020-10-16;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;MA-CL
c363b022-cf52-4bd3-b006-c4bab5137e50;PT;2020-10-20;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BR-TB,CB-CO
de19d01f-1211-4d42-b447-c7d935d201fc;PT;2020-10-22;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;SE-GR
9224bf35-aded-4e66-835d-6dda5af78f55;PT;2020-10-25;;Public;Local;Optional;PT Dia de Santa Catarina,EN St Catherine's Day,DE Tag der Heiligen Katharina;MA-CT
427212de-e8cf-4b16-ab4f-b44bfcabce4c;PT;2020-10-27;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;FA-LS
9fff18d5-b884-41d1-9e02-de08c4f8460e;PT;2020-11-06;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;PO-PF,SA-RM,VR-BO,VR-VA
