Id;Country;StartDate;EndDate;Type;Names;Subdivisions;OUnits
5a6cbd40-c329-4ac1-a835-ca7fd945a9eb;CZ;2020-02-03;2020-02-09;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-MB,ST-PB,JC-TA,JC-PT,JC-ST,US-UL,US-CV,US-MO,KR-JC,KR-RK,OL-OC,OL-SU,MO-OP,OL-JE;
98203b40-4c6b-43cc-bf11-81d3725c765f;CZ;2020-02-10;2020-02-16;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-BN,ST-BE,PL-RO,JC-CB,JC-CK,PL-KT,KR-TU,PA-PU,PA-CR,PA-SY,PA-UO,MO-OV,OL-PV;
fa5b9a49-ce72-4367-bdd3-38040a44396f;CZ;2020-01-31;2020-01-31;School;CS Pololetní prázdniny,DE Semesterferien,EN Half-term holidays;;
d459cbfa-b87a-4eea-ae82-16773a53cc39;CZ;2020-02-17;2020-02-23;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-1-5
660b0eae-71d0-42a8-b356-57cddeed2e86;CZ;2020-02-17;2020-02-23;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;JM-BK,JM-BM,JM-BO,JM-BV,JM-HO,JM-VY,JM-ZN,PL-DO,PL-TC,US-LN,MO-KI;
d83f37a8-7157-4b51-92e3-ab015a2891f2;CZ;2020-02-24;2020-03-01;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-6-10
2bb769ba-4c3a-472d-9046-67cd687fe6d3;CZ;2020-02-24;2020-03-01;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;KA-CH,KA-KV,KA-SO,ST-NB,JC-JH,US-LT,US-DC,OL-PR,MO-FM;
4ea20c81-6078-4694-8828-cf39ee2e7177;CZ;2020-03-02;2020-03-08;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ZL-KM,ZL-UH,ZL-VS,ZL-ZL,ST-PH,ST-PZ,ST-ME,ST-RA,PL-PJ,PL-PM,PL-PS,KR-HK,US-TP,MO-NJ;
2a96ef0d-cd7f-4490-8fec-b193f3ca07d3;CZ;2020-03-09;2020-03-15;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;LI-CL,LI-JN,LI-LB,LI-SM,VY-HB,VY-JI,VY-PE,VY-TR,VY-ZR,ST-KL,ST-KO,ST-KH,JC-PI,KR-NA,MO-BR;
df2850a1-4fd7-4b61-ada9-029757526a58;CZ;2020-04-09;2020-04-09;School;CS Velikonoční prázdniny,DE Osterferien,EN Easter holidays;;
fff331c0-6b6b-4d4b-ae7f-9ad2c105878c;CZ;2020-07-01;2020-08-31;School;CS Hlavní prázdniny,DE Sommerferien,EN Summer holidays;;
4324b707-153e-414a-ba48-5ae7c2ca6318;CZ;2020-10-29;2020-10-30;School;CS Podzimní prázdniny,DE Herbstferien,EN Autumn holidays;;
0c221a96-ff60-4ad2-b694-d5dd418171a9;CZ;2020-12-23;2021-01-03;School;CS Vánoční prázdniny,DE Weihnachtsferien,EN Christmas holidays;;
