Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Groups;Tags
4a30ad13-c2b4-4799-9517-ca922ee1c87f;CH;2030-10-07;2030-10-19;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
8ccf9e79-f814-4c6d-af79-f3fad1bfe9a4;CH;2030-12-23;2031-01-05;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
3ac8f305-373d-4a7d-9fea-d01e28118b74;CH;2031-04-11;2031-04-14;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
69b20d8e-abf7-4d9b-9850-558de5e752ca;CH;2031-04-11;2031-04-14;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
12404e18-4e35-4fe9-a082-2b024afe8e75;CH;2031-04-14;2031-04-26;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
45e84f8f-866d-4a6a-9c4e-b71f9ee27379;CH;2031-04-14;2031-04-26;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
5f5d65a0-c9f8-4751-9e72-3d291b566af8;CH;2031-05-22;2031-05-24;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
3d8b0789-6b0e-4afd-9d1f-9748100fd24e;CH;2031-07-14;2031-08-16;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
9d756c1e-e1d7-4837-838b-e897042a6dfe;CH;2031-10-06;2031-10-18;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
d18c76bc-f376-41ee-a538-cd07176d5ebd;CH;2031-10-06;2031-10-18;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
57bd6d84-7857-43fd-b49a-739ec27c71d8;CH;2031-12-22;2032-01-03;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
d8c1fcdd-34df-4a38-812b-2b2616174841;CH;2032-03-26;2032-03-29;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
f2c8a22a-7079-4507-bbb0-c887b2fa1e9f;CH;2032-03-26;2032-03-29;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
f3a0eb38-4cd8-4ab6-b8af-ab5d0eb1d676;CH;2032-04-19;2032-05-01;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
7b5aaafd-4ea8-47d1-96e4-145b93ac9bea;CH;2032-04-19;2032-05-01;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
a7a76c22-0ddc-4d94-9842-5c57d70f35e5;CH;2032-05-06;2032-05-08;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
98d10ecb-ab31-4724-a7f9-060cd28d9694;CH;2032-07-12;2032-08-14;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
ac8756e8-8b6e-4b07-a4e7-113a9968bb04;CH;2032-10-04;2032-10-16;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
87cc8843-6e53-4cee-ab6f-0328f6059045;CH;2032-10-04;2032-10-16;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
dfbeeecb-131c-4d2c-a9f3-d386897c3dab;CH;2032-12-20;2033-01-01;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
96d41f7c-3772-4d2d-ba56-97fd1f2f05f2;CH;2033-04-15;2033-04-18;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
5283f71d-ac78-4e92-95be-ddb7e899edd5;CH;2033-04-15;2033-04-18;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
443b1e12-72c1-4e91-8920-762d1ba04c4d;CH;2033-04-18;2033-04-30;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
942bf4e3-54ea-4db6-82f9-befdd312d365;CH;2033-04-18;2033-04-30;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
c82d9b15-c8a2-4b37-9339-f71fede08f80;CH;2033-05-26;2033-05-28;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
8d73843c-5368-4154-8eff-630a753bcdbe;CH;2033-07-18;2033-08-20;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
